file	filename	format_used	num_taxa	num_sites	max_sites	keep	reason
/workspace/NeuralNJ/empirical/SongD1/gene1.aln	gene1.aln	fasta	37	5794	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene10.aln	gene10.aln	fasta	37	2175	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene100.aln	gene100.aln	fasta	37	1908	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene101.aln	gene101.aln	fasta	37	1540	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene102.aln	gene102.aln	fasta	37	2031	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene103.aln	gene103.aln	fasta	37	2031	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene104.aln	gene104.aln	fasta	37	1166	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene105.aln	gene105.aln	fasta	37	3990	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene106.aln	gene106.aln	fasta	37	1110	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene107.aln	gene107.aln	fasta	37	1053	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene108.aln	gene108.aln	fasta	37	6946	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene109.aln	gene109.aln	fasta	37	2321	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene110.aln	gene110.aln	fasta	37	3867	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene111.aln	gene111.aln	fasta	37	3913	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene112.aln	gene112.aln	fasta	37	1911	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene113.aln	gene113.aln	fasta	37	2728	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene114.aln	gene114.aln	fasta	37	1838	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene115.aln	gene115.aln	fasta	37	3416	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene116.aln	gene116.aln	fasta	37	1488	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene117.aln	gene117.aln	fasta	37	3872	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene118.aln	gene118.aln	fasta	37	2768	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene12.aln	gene12.aln	fasta	37	2106	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene120.aln	gene120.aln	fasta	37	1478	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene121.aln	gene121.aln	fasta	37	9313	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene122.aln	gene122.aln	fasta	37	1964	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene123.aln	gene123.aln	fasta	37	3543	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene124.aln	gene124.aln	fasta	37	1482	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene125.aln	gene125.aln	fasta	37	812	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene126.aln	gene126.aln	fasta	37	4705	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene127.aln	gene127.aln	fasta	37	3478	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene128.aln	gene128.aln	fasta	37	6523	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene129.aln	gene129.aln	fasta	37	4118	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene13.aln	gene13.aln	fasta	37	2338	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene130.aln	gene130.aln	fasta	37	1461	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene131.aln	gene131.aln	fasta	37	2113	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene132.aln	gene132.aln	fasta	37	7963	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene133.aln	gene133.aln	fasta	37	8880	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene134.aln	gene134.aln	fasta	37	2077	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene135.aln	gene135.aln	fasta	37	9620	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene136.aln	gene136.aln	fasta	37	9620	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene137.aln	gene137.aln	fasta	37	2857	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene138.aln	gene138.aln	fasta	37	2947	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene139.aln	gene139.aln	fasta	37	3255	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene14.aln	gene14.aln	fasta	37	1878	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene140.aln	gene140.aln	fasta	37	3174	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene141.aln	gene141.aln	fasta	37	7612	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene142.aln	gene142.aln	fasta	37	1641	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene143.aln	gene143.aln	fasta	37	2935	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene144.aln	gene144.aln	fasta	37	5588	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene145.aln	gene145.aln	fasta	37	6313	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene146.aln	gene146.aln	fasta	37	5271	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene147.aln	gene147.aln	fasta	37	3476	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene148.aln	gene148.aln	fasta	37	2626	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene149.aln	gene149.aln	fasta	37	27360	17000	no	num_sites > 17000
/workspace/NeuralNJ/empirical/SongD1/gene15.aln	gene15.aln	fasta	37	2588	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene151.aln	gene151.aln	fasta	37	3729	17000	yes	
/workspace/NeuralNJ/empirical/SongD1/gene152.aln	gene152.aln	fasta	37	1425	17000	yes	
